Experiment_ID,Parameter,Value,Metric,Mean_Final,Variance,StdDev,CI_95_Lower,CI_95_Upper
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,78.0,0.0,0.0,78.0,78.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,78.0,0.0,0.0,78.0,78.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,compressorHealth_A,78.0,0.0,0.0,78.0,78.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,50,segmentStress_B,100,0,0.0,100.0,100
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,50,localizedTelemetryTrust_A,100,0,0.0,100.0,100
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,50,compressorHealth_A,100,0,0.0,100.0,100
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,80,segmentStress_B,100,0,0.0,100.0,100
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,80,localizedTelemetryTrust_A,100,0,0.0,100.0,100
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,80,compressorHealth_A,100,0,0.0,100.0,100
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,0,resilienceDegradation,61.0,0.0,0.0,61.0,61.0
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,0,downtime,61.0,0.0,0.0,61.0,61.0
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,0,safeModeOperation,61.0,0.0,0.0,61.0,61.0
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,1,resilienceDegradation,62.7,0.0,0.0,62.7,62.7
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,1,downtime,61.85,0.0,0.0,61.85,61.85
EXP-02-CONGESTION-AWARE-BASELINE,congestionAwareDefense,1,safeModeOperation,61.85,0.0,0.0,61.85,61.85
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,0,delayedTelemetry,61.0,0.0,0.0,61.0,61.0
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,0,processDeviation,61.0,0.0,0.0,61.0,61.0
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,0,controlLatency,61.0,0.0,0.0,61.0,61.0
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,1,delayedTelemetry,61.85,0.0,0.0,61.85,61.85
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,1,processDeviation,61.85,0.0,0.0,61.85,61.85
EXP-03-TELEMETRY-TRUST-DECAY,telemetryAwareDefense,1,controlLatency,61.85,0.0,0.0,61.85,61.85
