Experiment_ID,Parameter,Value,Metric,Time,Mean,Variance,CI_95_Lower,CI_95_Upper
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,0,10,0,10.0,10.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,10,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,20,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,30,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,40,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,50,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,60,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,70,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,80,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,90,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,100,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,110,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,120,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,130,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,140,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,150,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,160,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,170,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,180,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,190,38.0,0.0,38.0,38.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,200,38.0,0.0,38.0,38.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,210,38.0,0.0,38.0,38.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,220,42.0,0.0,42.0,42.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,230,42.0,0.0,42.0,42.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,240,42.0,0.0,42.0,42.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,250,46.0,0.0,46.0,46.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,260,46.0,0.0,46.0,46.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,270,46.0,0.0,46.0,46.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,280,50.0,0.0,50.0,50.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,290,50.0,0.0,50.0,50.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,300,50.0,0.0,50.0,50.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,310,54.0,0.0,54.0,54.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,320,54.0,0.0,54.0,54.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,330,54.0,0.0,54.0,54.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,340,58.0,0.0,58.0,58.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,350,58.0,0.0,58.0,58.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,360,58.0,0.0,58.0,58.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,370,62.0,0.0,62.0,62.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,380,62.0,0.0,62.0,62.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,390,62.0,0.0,62.0,62.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,400,66.0,0.0,66.0,66.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,410,66.0,0.0,66.0,66.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,420,66.0,0.0,66.0,66.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,430,70.0,0.0,70.0,70.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,440,70.0,0.0,70.0,70.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,450,70.0,0.0,70.0,70.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,460,74.0,0.0,74.0,74.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,470,74.0,0.0,74.0,74.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,480,74.0,0.0,74.0,74.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,490,78.0,0.0,78.0,78.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,segmentStress_B,500,78.0,0.0,78.0,78.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,0,10,0,10.0,10.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,10,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,20,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,30,14.0,0.0,14.0,14.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,40,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,50,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,60,18.0,0.0,18.0,18.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,70,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,80,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,90,22.0,0.0,22.0,22.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,100,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,110,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,120,26.0,0.0,26.0,26.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,130,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,140,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,150,30.0,0.0,30.0,30.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,160,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,170,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,180,34.0,0.0,34.0,34.0
EXP-01-DISTRIBUTED-STRESS,segmentStress_A,20,localizedTelemetryTrust_A,190,38.0,0.0,38.0,38.0
